ID,Type,Make,Model,Antenna,VHF,Notes
33465,collar,Lotek,LT40,Internal,169.2815,
33448,collar,Lotek,LT40,Internal,168.018,
259181,collar,Holohil,MI-2M,,169.03,
259182,collar,Holohil,MI-2M,,169.057,
259183,collar,Holohil,MI-2M,,169.068,
259184,collar,Holohil,MI-2M,,169.095,
259185,collar,Holohil,MI-2M,,169.256,
259186,collar,Holohil,MI-2M,,169.281,
259187,collar,Holohil,MI-2M,,169.331,
33468,collar,Lotek,LT40,Internal,168.6057,
33467,collar,Lotek,LT40,Internal,168.581,
33454,collar,Lotek,LT40,Internal,168.168,
33510,collar,Lotek,LT60,Internal,168.743,
33469,collar,Lotek,LT40,Internal,168.6174,
33983,collar,Lotek,LT60,Internal,168.5685,
33506,collar,Lotek,LT60,Internal,168.668,
33508,collar,Lotek,LT60,Internal,168.718,
33456,collar,Lotek,LT40,Internal,168.231,
33452,collar,Lotek,LT40,Internal,168.143,
33459,collar,Lotek,LT40,Internal,168.268,
33512,collar,Lotek,LT60,Internal,168.768,
33453,collar,Lotek,LT40,Internal,168.156,SEKI
33451,collar,Lotek,LT40,Internal,168.131,
33457,collar,Lotek,LT40,Internal,168.243,
33461,collar,Lotek,LT40,Internal,168.356,
33462,collar,Lotek,LT40,Internal,168.431,
33463,collar,Lotek,LT40,Internal,168.443,
33504,collar,Lotek,LT60,Internal,168.643,
33507,collar,Lotek,LT60,Internal,168.681,
33980,collar,Lotek,LT40,Internal,168.118,
33981,collar,Lotek,LT40,Internal,168.631,
33679,collar,Lotek,LT40,Internal,168.031,
33985,collar,Lotek,LT60,Internal,168.756,
